Symbol,Company Name
TORNTPHARM.NS,Torrent Pharmaceuticals
ALKEM.NS,Alkem Laboratories
IPCALAB.NS,Ipca Laboratories
LAURUSLABS.NS,Laurus Labs
ZYDUSLIFE.NS,Zydus Lifesciences
MAXHEALTH.NS,Max Healthcare Institute
FORTIS.NS,Fortis Healthcare
METROPOLIS.NS,Metropolis Healthcare
LALPATHLAB.NS,Dr Lal PathLabs
ASHOKLEY.NS,Ashok Leyland
BALKRISIND.NS,Balkrishna Industries
MOTHERSON.NS,Samvardhana Motherson International
BOSCHLTD.NS,Bosch
MRF.NS,MRF
EXIDEIND.NS,Exide Industries
AMARARAJA.NS,Amara Raja Energy & Mobility
MARICO.NS,Marico
COLPAL.NS,Colgate-Palmolive (India)
EMAMILTD.NS,Emami
JUBLFOOD.NS,Jubilant FoodWorks
ETERNAL.NS,Eternal (Zomato)
NYKAA.NS,FSN E-Commerce Ventures (Nykaa)
DMART.NS,Avenue Supermarts (DMart)
TATAELXSI.NS,Tata Elxsi
DIXON.NS,Dixon Technologies
KAYNES.NS,Kaynes Technology India
NAVINFLUOR.NS,Navin Fluorine International
INDUSTOWER.NS,Indus Towers
IDEA.NS,Vodafone Idea
PETRONET.NS,Petronet LNG
IGL.NS,Indraprastha Gas
MGL.NS,Mahanagar Gas
CONCOR.NS,Container Corporation of India
INDIGO.NS,InterGlobe Aviation (IndiGo)
OFSS.NS,Oracle Financial Services Software
NAUKRI.NS,Info Edge (India)
POLICYBZR.NS,PB Fintech (PolicyBazaar)
PAYTM.NS,One97 Communications (Paytm)
TATACHEM.NS,Tata Chemicals
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals
COROMANDEL.NS,Coromandel International
SUNTV.NS,Sun TV Network
PVRINOX.NS,PVR INOX
AFFLE.NS,Affle (India)
MFSL.NS,Max Financial Services
ABCAPITAL.NS,Aditya Birla Capital
SBICARD.NS,SBI Cards and Payment Services
AUBANK.NS,AU Small Finance Bank
LODHA.NS,Macrotech Developers (Lodha)
LICI.NS,Life Insurance Corporation of India
JIOFIN.NS,Jio Financial Services
HINDCOPPER.NS,Hindustan Copper
NATIONALUM.NS,National Aluminium Company
IREDA.NS,Indian Renewable Energy Development Agency
HUDCO.NS,Housing & Urban Development Corporation
