Symbol,Company Name
BANDHANBNK.NS,Bandhan Bank
LTF.NS,L&T Finance
LAURUSLABS.NS,Laurus Labs
DALBHARAT.NS,Dalmia Bharat
TATACOMM.NS,Tata Communications
TATAELXSI.NS,Tata Elxsi
JUBLFOOD.NS,Jubilant FoodWorks
AUBANK.NS,AU Small Finance Bank
ABFRL.NS,Aditya Birla Fashion
INDHOTEL.NS,Indian Hotels
CUMMINSIND.NS,Cummins India
UPL.NS,UPL
HONAUT.NS,Honeywell Automation
DEEPAKNTR.NS,Deepak Nitrite
PRESTIGE.NS,Prestige Estates
ATUL.NS,Atul
BEL.NS,Bharat Electronics
HINDPETRO.NS,Hindustan Petroleum
NATCOPHARM.NS,Natco Pharma
MPHASIS.NS,Mphasis
SYNGENE.NS,Syngene International
PHOENIXLTD.NS,Phoenix Mills
PVRINOX.NS,PVR Inox
SONACOMS.NS,Sona BLW Precision
KPITTECH.NS,KPIT Technologies
APLAPOLLO.NS,APL Apollo Tubes
GLAXO.NS,GSK Pharma
TATAPOWER.NS,Tata Power
ADANIPOWER.NS,Adani Power
NHPC.NS,NHPC
SJVN.NS,SJVN
IRFC.NS,Indian Railway Finance Corp
INDIANB.NS,Indian Bank
UNIONBANK.NS,Union Bank of India
MANAPPURAM.NS,Manappuram Finance
SUMICHEM.NS,Sumitomo Chemical
FLUOROCHEM.NS,Gujarat Fluorochemicals
LALPATHLAB.NS,Dr Lal PathLabs
METROPOLIS.NS,Metropolis Healthcare
SUNDRMFAST.NS,Sundram Fasteners
COROMANDEL.NS,Coromandel International
Dixon.NS,Dixon Technologies
CLEAN.NS,Clean Science
SUNTV.NS,Sun TV Network
RAMCOCEM.NS,Ramco Cements
NAVINFLUOR.NS,Navin Fluorine
MCX.NS,Multi Commodity Exchange
BSE.NS,BSE
CDSL.NS,CDSL
KAYNES.NS,Kaynes Technology
LLOYDSME.NS,Lloyds Metals
CGPOWER.NS,CG Power & Industrial
JSWENERGY.NS,JSW Energy
THERMAX.NS,Thermax
GRINDWELL.NS,Grindwell Norton
KEI.NS,KEI Industries
SUPREMEIND.NS,Supreme Industries
ENDURANCE.NS,Endurance Technologies
ETERNAL.NS,Eternal (Zomato)
PAYTM.NS,One97 Communications
NYKAA.NS,FSN E-Commerce
DMART.NS,Avenue Supermarts
GODREJPROP.NS,Godrej Properties
LODHA.NS,Macrotech Developers
EMAMILTD.NS,Emami
IIFL.NS,IIFL Finance
TATACHEM.NS,Tata Chemicals
CESC.NS,CESC
IDBI.NS,IDBI Bank
CENTRALBK.NS,Central Bank of India
MAZDOCK.NS,Mazagon Dock Shipbuilders
COCHINSHIP.NS,Cochin Shipyard
GRSE.NS,Garden Reach Shipbuilders
